brand,model,type,price_inr,range_km,battery_kwh,top_speed,charging_time,segment,year,efficiency_km_per_kwh,acceleration_0_60,fame_eligible,central_subsidy_inr,price_after_subsidy_inr,seating_capacity,battery_warranty_years,available_in_india,popular_in_states,sales_rank,user_rating,annual_maintenance_inr
Ather,450X,2-Wheeler,145000,105,3.7,90,5.5,Premium Scooter,2024,28.38,2.4,Yes,15000,130000,2,3,Yes,"Gujarat, Tamil Nadu, Karnataka",1,4.4,8000
Ather,450S,2-Wheeler,130000,90,3.0,90,4.5,Premium Scooter,2024,30.0,2.3,Yes,15000,115000,2,3,Yes,"Karnataka, Maharashtra, Tamil Nadu",2,4.1,8000
Ather,450 Apex,2-Wheeler,195000,115,3.7,100,5.5,Premium Scooter,2024,31.08,2.4,No,0,195000,2,3,Yes,"Delhi, Karnataka, Telangana",3,4.0,8000
Ola Electric,S1 Pro,2-Wheeler,139999,135,3.97,115,6.5,Premium Scooter,2024,34.01,2.4,Yes,15000,124999,2,3,Yes,"Tamil Nadu, Delhi, Karnataka",4,3.8,8000
Ola Electric,S1 Air,2-Wheeler,104999,101,2.98,85,5.0,Mid-Range Scooter,2024,33.89,2.3,Yes,15000,89999,2,3,Yes,"Delhi, Gujarat, Telangana",5,3.6,8000
Ola Electric,S1 X,2-Wheeler,89999,91,2.5,85,4.5,Budget Scooter,2024,36.4,2.2,Yes,15000,74999,2,3,Yes,"Delhi, Maharashtra, Gujarat",6,4.5,8000
TVS,iQube,2-Wheeler,112000,100,3.4,78,4.5,Mid-Range Scooter,2024,29.41,2.3,Yes,15000,97000,2,3,Yes,"Gujarat, Karnataka, Delhi",7,4.1,8000
TVS,iQube ST,2-Wheeler,135000,125,4.0,82,5.0,Mid-Range Scooter,2024,31.25,2.4,Yes,15000,120000,2,3,Yes,"Gujarat, Karnataka, Tamil Nadu",8,4.3,8000
Bajaj,Chetak,2-Wheeler,125000,95,3.0,73,5.0,Mid-Range Scooter,2024,31.67,2.3,Yes,15000,110000,2,3,Yes,"Tamil Nadu, Delhi, Maharashtra",9,4.9,8000
Bajaj,Chetak Premium,2-Wheeler,145000,108,3.5,77,5.5,Mid-Range Scooter,2024,30.86,2.4,Yes,15000,130000,2,3,Yes,"Delhi, Karnataka, Telangana",10,4.7,8000
Simple Energy,One,2-Wheeler,110000,236,4.8,105,4.0,Mid-Range Scooter,2024,49.17,2.5,Yes,15000,95000,2,3,Yes,"Telangana, Maharashtra, Delhi",11,3.6,8000
Bounce,Infinity E1,2-Wheeler,68000,85,1.9,65,3.5,Budget Scooter,2024,44.74,2.2,Yes,15000,53000,2,3,Yes,"Delhi, Telangana, Gujarat",12,4.0,8000
Hero Electric,Optima,2-Wheeler,75000,80,1.8,45,4.0,Budget Scooter,2024,44.44,2.2,Yes,15000,60000,2,3,Yes,"Maharashtra, Delhi, Gujarat",13,4.2,8000
Hero Electric,Photon,2-Wheeler,82000,90,2.1,50,4.5,Budget Scooter,2024,42.86,2.2,Yes,15000,67000,2,3,Yes,"Maharashtra, Karnataka, Delhi",14,3.6,8000
Hero Electric,Nyx,2-Wheeler,95000,100,2.4,60,5.0,Budget Scooter,2024,41.67,2.2,Yes,15000,80000,2,3,Yes,"Karnataka, Tamil Nadu, Delhi",15,4.4,8000
Ampere,Magnus Pro,2-Wheeler,85000,100,2.3,55,5.0,Budget Scooter,2024,43.48,2.2,Yes,15000,70000,2,3,Yes,"Gujarat, Delhi, Maharashtra",16,4.0,8000
Ampere,Primus,2-Wheeler,95000,120,2.9,55,5.5,Budget Scooter,2024,41.38,2.3,Yes,15000,80000,2,3,Yes,"Delhi, Karnataka, Telangana",17,4.8,8000
Okinawa,iPraise,2-Wheeler,110000,139,3.3,58,5.0,Mid-Range Scooter,2024,42.12,2.3,Yes,15000,95000,2,3,Yes,"Karnataka, Telangana, Gujarat",18,4.0,8000
