station_id,station_name,network,city,state,latitude,longitude,location_type,charger_type,power_kw,num_chargers,operating_hours,payment_methods,amenities,status,cost_per_unit,parking_fee
EV1000,Mumbai Shopping Mall - 1,Fortum Charge & Drive,Mumbai,Maharashtra,19.268297,72.903041,Shopping Mall,CHAdeMO,25.0,2,6 AM - 11 PM,"App, Card, UPI","WiFi, Cafe",Operational,13.42,0
EV1001,Mumbai Residential Complex - 2,Exicom,Mumbai,Maharashtra,19.15233,72.987965,Residential Complex,Bharat DC-001,50.0,4,6 AM - 11 PM,"App, Card, UPI",Restroom,Operational,11.63,20
EV1002,Mumbai Residential Complex - 3,BPCL,Mumbai,Maharashtra,19.201397,72.961097,Residential Complex,CCS2,100.0,6,8 AM - 10 PM,"App, Card, UPI",Restroom,Operational,11.68,30
EV1003,Mumbai Highway Rest Stop - 4,Fortum Charge & Drive,Mumbai,Maharashtra,19.233192,72.911082,Highway Rest Stop,CHAdeMO,25.0,3,6 AM - 11 PM,"App, Card, UPI",WiFi,Operational,14.99,20
EV1004,Mumbai Office Complex - 5,Ola Electric,Mumbai,Maharashtra,19.180667,72.905113,Office Complex,Bharat AC-001,11.0,2,8 AM - 10 PM,"App, Card, UPI",WiFi,Operational,11.3,30
EV1005,Mumbai Restaurant - 6,Reliance BP,Mumbai,Maharashtra,19.216506,72.801517,Restaurant,Bharat DC-001,60.0,1,6 AM - 11 PM,"App, Card, UPI","WiFi, Cafe, Restroom",Operational,14.18,30
EV1006,Mumbai Residential Complex - 7,IOCL,Mumbai,Maharashtra,19.129444,72.801778,Residential Complex,Bharat AC-001,7.4,3,8 AM - 10 PM,"App, Card, UPI",Restroom,Operational,11.47,20
EV1007,Mumbai Office Complex - 8,ChargeZone,Mumbai,Maharashtra,19.009878,72.979684,Office Complex,AC Type 2,11.0,4,9 AM - 9 PM,"App, Card, UPI","WiFi, Cafe",Operational,10.06,0
EV1008,Mumbai Office Complex - 9,Ola Electric,Mumbai,Maharashtra,19.271547,72.809467,Office Complex,AC Type 2,11.0,3,8 AM - 10 PM,"App, Card, UPI","WiFi, Waiting Area",Operational,14.45,30
EV1009,Mumbai Petrol Pump - 10,Reliance BP,Mumbai,Maharashtra,19.056443,72.965119,Petrol Pump,Bharat AC-001,22.0,3,8 AM - 10 PM,"App, Card, UPI","WiFi, Restroom",Operational,9.8,20
EV1010,Mumbai Metro Station - 11,Exicom,Mumbai,Maharashtra,19.135689,72.846519,Metro Station,Bharat AC-001,22.0,2,24/7,"App, Card, UPI",Cafe,Operational,13.78,50
EV1011,Mumbai Office Complex - 12,Kazam EV,Mumbai,Maharashtra,19.008639,72.822739,Office Complex,Bharat DC-001,60.0,6,24/7,"App, Card, UPI",Cafe,Operational,11.37,30
EV1012,Mumbai Tech Park - 13,Ola Electric,Mumbai,Maharashtra,19.288954,72.823174,Tech Park,Bharat DC-001,150.0,1,6 AM - 11 PM,"App, Card, UPI","WiFi, Cafe, Waiting Area",Operational,9.42,0
EV1013,Mumbai Metro Station - 14,Tata Power EZ Charge,Mumbai,Maharashtra,19.222516,72.984713,Metro Station,CHAdeMO,60.0,1,24/7,"App, Card, UPI",WiFi,Operational,11.45,0
EV1014,Mumbai Shopping Mall - 15,ChargeZone,Mumbai,Maharashtra,19.098404,72.886617,Shopping Mall,AC Type 2,7.4,2,6 AM - 11 PM,"App, Card, UPI",WiFi,Operational,14.12,30
EV1015,Mumbai Airport - 16,BluSmart,Mumbai,Maharashtra,19.216711,72.944564,Airport,CHAdeMO,50.0,3,9 AM - 9 PM,"App, Card, UPI",None,Operational,14.81,0
EV1016,Mumbai Hotel - 17,Exicom,Mumbai,Maharashtra,19.073165,72.945101,Hotel,Bharat AC-001,7.4,2,24/7,"App, Card, UPI","WiFi, Restroom",Operational,14.27,20
EV1017,Mumbai Hospital - 18,IOCL,Mumbai,Maharashtra,19.280654,72.977274,Hospital,AC Type 2,22.0,2,6 AM - 11 PM,"App, Card, UPI",Cafe,Operational,11.66,0
EV1018,Mumbai Highway Rest Stop - 19,Statiq,Mumbai,Maharashtra,19.199278,72.988918,Highway Rest Stop,CHAdeMO,60.0,2,6 AM - 11 PM,"App, Card, UPI","Cafe, Waiting Area",Operational,10.86,0
EV1019,Mumbai Tourist Spot - 20,BluSmart,Mumbai,Maharashtra,19.11161,72.891736,Tourist Spot,Bharat DC-001,150.0,1,6 AM - 11 PM,"App, Card, UPI","WiFi, Cafe, Waiting Area",Operational,13.28,50
EV1020,Mumbai Office Complex - 21,Magenta Power,Mumbai,Maharashtra,19.00831,72.957536,Office Complex,AC Type 2,22.0,2,24/7,"App, Card, UPI",None,Operational,10.23,20
EV1021,Mumbai Petrol Pump - 22,Ola Electric,Mumbai,Maharashtra,19.032175,72.8455,Petrol Pump,Bharat AC-001,3.3,2,24/7,"App, Card, UPI","WiFi, Cafe, Restroom",Operational,10.29,20
EV1022,Mumbai Hospital - 23,Reliance BP,Mumbai,Maharashtra,19.23329,72.802498,Hospital,CCS2,60.0,2,9 AM - 9 PM,"App, Card, UPI",Cafe,Operational,11.9,0
